uprn,class_code,x,y
100110743540,CR02PO,419398.77,552768.03
10015363458,OR01,477151.64,413321.74
10015376265,OR01,525414.75,188524.60
10015375987,OR01,353344.10,429953.10
10015383555,OR01,370632.95,426949.60
10015388794,OR01,565501.50,225224.83
10015397091,OR01,635865.25,308503.58
10015395633,OR01,301998.55,193918.00
10015343695,OR01,634606.29,324127.89
10015419062,OR01,560393.65,100360.95
50000005306,CR02PO,286786.00,378313.00
10015446795,OR01,592836.25,174815.60
10015378364,OR01,305730.19,110547.65
10015380415,OR01,418591.65,185634.95
10015465893,OR01,638548.80,323783.87
10015630497,OR01,384996.93,393036.31
10015372602,OR01,438841.70,411470.40
10015289320,OR01,354700.43,269408.37
10015292669,OR01,582569.97,109484.26
10015357420,OR01,567152.91,154810.51
10015710381,OR01,247994.10,60213.48
10015825697,OR01,488293.75,267717.89
10015675937,OR01,533807.83,185185.59
10015337200,OR01,445779.90,403550.20
10015340549,OR01,510524.28,128826.86
10015315462,OR01,295566.86,284990.68
10015328387,OR01,353741.00,177393.35
10015330889,OR01,584033.02,164448.82
10015371028,OR01,446895.70,520135.15
10015368699,OR01,470723.47,137260.47
10015433734,OR01,578419.06,252224.75
10015458873,OR01,619267.05,306527.75
10015345649,OR01,312188.83,100630.13
10015358860,OR01,365466.40,213250.10
10015360911,OR01,478119.43,326317.35
10015387372,OR01,413096.88,415885.42
10015353782,OR01,530960.25,161297.00
10015320329,OR01,400795.30,281767.05
10015466104,OR01,440002.48,254538.53
10015344422,OR01,272023.22,277263.43
10015475053,OR01,385040.95,391172.80
10015519441,OR01,407356.28,157514.35
10015432475,OR01,336025.97,153247.25
10015434038,OR01,306084.90,93267.11
10015289163,OR01,458280.55,338797.50
10015426146,OR01,459419.97,212457.62
22104980,CR02PO,535644.00,105871.00
10015287212,OR01,426380.30,564437.92
10015290894,OR01,519436.90,158901.00
10015295231,OR01,442848.50,170648.49
10015299859,OR01,343044.42,188065.82
10015316192,OR01,545453.87,375572.68
10015319522,OR01,172876.58,29076.01
10015323482,OR01,524139.57,252313.37
10015322753,OR01,398259.15,408149.13
10015330321,OR01,440829.21,213876.52
10015358187,OR01,461453.41,448449.37
10015332610,OR01,352929.85,382609.40
10015337516,OR01,354697.69,439925.46
10015401360,OR01,247024.10,73632.60
10015406272,OR01,392164.34,392357.22
10015405994,OR01,415994.30,571463.50
10015409602,OR01,441578.70,252132.47
10015357946,OR01,617010.20,265326.30
10015362184,OR01,445988.45,522844.15
10015405967,OR01,518804.97,196227.89
10015269727,OR01,331601.15,437836.40
10015293396,OR01,409138.03,251713.16
10015479678,OR01,445858.19,353259.56
10015402607,OR01,623760.01,294264.04
24052977,CR02PO,344104.00,159906.00
10015818888,OR01,621729.76,342198.69
10015385895,OR01,547669.75,99476.90
10015401114,OR01,356695.90,117334.30
10015425839,OR01,462874.70,330451.60
10015426450,OR01,527506.80,175144.45
10015445505,OR01,570036.30,234708.10
10015398536,OR01,538350.88,263116.01
10015471316,OR01,427332.85,525233.55
10015472045,OR01,500332.08,308609.12
10015277122,OR01,531282.95,173273.80
10015276806,OR01,636060.38,308011.94
10015281044,OR01,520450.05,229057.35
10015289613,OR01,287195.85,73553.55
10015293573,OR01,332545.32,351085.85
10015437017,OR01,522254.15,207597.10
10015297785,OR01,528816.25,174092.20
10015816832,OR01,182225.16,62305.99
10015296603,OR01,525164.35,180067.20
10015805032,OR01,376822.42,148370.81
10015837326,OR01,438603.20,557252.06
10015821071,OR01,384674.76,381253.74
10015426117,OR01,535370.35,170684.70
10015395791,OR01,440301.40,449479.40
10015393799,OR01,575129.15,165251.50
10015415416,OR01,468232.51,405763.06
10015422706,OR01,403918.39,245593.86
10015269516,OR01,599482.64,305532.13
10015356168,OR01,498406.10,102978.45
10015477931,OR01,231825.52,53973.36
10015756405,OR01,384617.95,363412.14
10015413755,OR01,546267.95,178659.40
10015425833,OR01,363029.91,116316.44
10015441420,OR01,499180.80,257653.81
10015807135,OR01,524063.45,271724.99
10015407194,OR01,529196.50,174187.75
10015369624,OR01,524459.65,180374.00
10015455610,OR01,542700.74,321684.08
10015269863,OR01,330882.41,149419.65
10015418365,OR01,321620.65,180238.05
10015468985,OR01,404530.75,90757.95
10015476102,OR01,407130.50,272535.30
10015421575,OR01,304309.15,93760.35
100121311990,CR02PO,445477.00,196712.00
10015288393,OR01,472074.07,474233.29
10015302206,OR01,293582.44,373953.36
10015307445,OR01,542011.55,182655.85
10015306716,OR01,520306.65,169708.95
10015310676,OR01,434931.52,491493.68
10015322303,OR01,604084.90,279915.80
10015420398,OR01,568532.04,150244.19
10015332545,OR01,390116.10,163030.60
10015333083,OR01,308767.45,310057.97
10015353298,OR01,306384.45,382511.20
10015360137,OR01,400753.30,301785.60
10015369435,OR01,511491.15,187086.95
10015372666,OR01,459439.53,185822.72
10015371937,OR01,293293.40,73096.50
10015309608,OR01,344352.02,238933.61
10015314297,OR01,455804.32,162308.26
10015321587,OR01,370605.50,90286.00
10015358217,OR01,457303.40,451663.00
100041063491,CR02PO,248364.00,55744.00
10015396818,OR01,482303.13,158252.37
10015271074,OR01,620449.10,305927.90
10015294952,OR01,435057.35,380711.40
10015299407,OR01,181617.60,32285.70
10015302204,OR01,428853.00,439883.05
10015308172,OR01,414582.30,294428.50
10015310223,OR01,431584.40,267321.40
10015467808,OR01,330287.92,377165.14
10015469266,OR01,630086.52,329437.78
10015471768,OR01,398850.32,653898.11
10015472497,OR01,336205.50,427170.05
10015476105,OR01,360466.30,437375.26
10015475827,OR01,543979.00,167556.25
10015480065,OR01,380529.60,406971.45
10015272849,OR01,385110.35,209650.89
10015273460,OR01,644277.50,287030.10
10015293675,OR01,434566.20,382584.65
10015305437,OR01,480739.60,263670.10
10015312727,OR01,431913.88,481170.14
10015341239,OR01,501455.40,221997.90
10015387068,OR01,303734.90,228451.64
10015393629,OR01,592290.50,174525.30
10015419378,OR01,398812.16,447108.31
10015301704,OR01,443454.00,315570.80
10015303162,OR01,380246.74,414959.97
10015330216,OR01,366013.15,310904.50
10015476332,OR01,437615.65,371710.50
10015840221,OR01,382763.98,352547.95
10015473719,OR01,367471.41,118959.05
