uprn,class_code,x,y
200000069059,CX01,533227.00,181657.00
12132981,CX01,517368.00,180587.00
100012778462,CX03,394894.95,397027.01
10003308397,CX02,220668.00,106276.00
100121343292,CX02,415917.00,184852.00
77186862,CX01,388420.48,398010.88
43089385,CX01,314657.00,193801.00
100110788484,CX03,450306.00,519443.00
100091615876,CX02,630887.91,335938.29
77067569,CX03,383105.00,388935.00
10023857383,CX02,427194.74,534957.96
10013365998,CX02,285372.00,193305.00
10013057987,CX01,437779.00,539201.00
63107879,CX01,445228.57,411030.26
200002743112,CX03,437130.00,401397.00
64020880,CX03,309389.70,168469.44
43170473,CX01,323956.00,190331.00
38146504,CX02,339503.34,395177.66
100023212023,CX02,551179.36,190571.33
10010494725,CX02,637337.33,324941.63
100100931724,CX01,330102.00,369020.00
200001326080,CX01,389536.00,323755.00
10094111728,CX08,383448.38,434094.03
24097738,CX02,341956.00,157868.00
100032257831,CX01,435336.87,334306.75
100062280101,CX01,615017.00,157406.00
556057,CX03,360507.88,183713.05
10034638310,CX04,180770.00,61957.00
100071580234,CX01,414985.00,279382.00
10090428081,CX03,355324.00,430861.00
10013761980,CX02,392051.32,224678.91
50040533,CX02,622419.80,136769.40
100110801559,CX06,351425.66,493241.88
10014335769,CX01,382425.00,160743.00
192001491,CX03,90873.00,10673.00
10034791845,CX01,607872.14,338186.86
6015833,CX01,534010.00,181097.00
200002941213,CX01,323896.86,364074.06
10070354905,CX01,270370.00,346026.00
200004774159,CX01,459610.00,451737.00
10003951295,CX02,330245.00,497705.00
100071493716,CX03,433499.00,279713.00
10090228603,CX02,511155.00,199212.00
10009280413,CX02,358425.00,468687.00
200003736893,CX02,472937.00,287702.00
200004624904,CX02,569929.00,206858.00
21133783,CX01,505134.00,426809.00
200003181497,CX03,270099.00,345679.00
10003309187,CX02,198778.00,72592.00
200002976260,CX,388143.00,538144.00
200003720471,CX03,589432.87,152103.07
100091525305,CX01,515613.00,298318.00
100101049765,CX01,304579.00,199178.00
100101009266,CX,227969.00,216408.00
100062320537,CX01,499460.00,149887.00
10070349143,CX02,231100.00,327776.00
100023581980,CX03,545717.00,188616.30
100012618284,CX03,332063.00,446609.00
100121263953,CX02,396116.00,270837.00
10070358119,CX05,260803.00,296020.00
100071510858,CX01,429821.00,262173.00
100091436864,CX01,546122.00,202268.00
10013421581,CX03,442076.00,356440.00
10091643829,CX05,197411.75,192688.19
10093442511,CX03,614068.82,157186.08
100062569983,CX01,574523.51,116204.95
10090495416,CX03,397152.25,299562.51
10000893781,CX02,303595.13,517560.11
10008187055,CX01,533518.07,345754.88
38032040,CX02,343378.86,388475.57
200000122037,CX02,349634.58,313476.02
10008336696,CX01,533580.31,184986.91
10023035278,CX02,434555.34,282411.84
10090533585,CX05,256742.00,49304.00
100012548582,CX01,389198.96,440024.51
28021256,CX02,467182.19,273266.04
10014316035,CX03,576507.51,153485.95
10013399423,CX,355793.37,389642.14
100041038403,CX03,254047.00,131413.00
10010029232,CX01,262839.00,194729.00
10023593520,CX01,543478.00,184507.00
10023955449,CX05,186332.15,214101.09
10022861752,CX01,540521.80,197738.53
28042548,CX02,462623.00,267247.00
200002900284,CX03,439721.00,112780.00
100100958562,CX02,261060.00,316068.00
45128405,CX08,439710.00,556828.00
10070001868,CX01,537573.00,169773.00
10034089055,CX01,350159.00,451885.00
10010214694,CX01,542095.69,179205.23
100051981783,CX01,456783.00,406015.00
10090292446,CX05,235561.88,123602.89
10012094408,CX05,254325.16,148301.81
100091558007,CX01,620898.04,341434.37
10090879485,CX05,185167.17,76495.83
10070537456,CX02,339138.00,516168.00
200003353566,CX,532020.00,179578.00
10001337060,CX03,453585.00,350315.00
100062612521,CX02,479613.00,97144.00
200000825933,CX03,340129.83,368347.49
10009592355,CX01,446879.27,107804.50
10000797087,CX01,248492.46,58867.07
100041050589,CX02,407853.00,100175.00
100052216835,CX03,432269.53,391517.22
200000003426,CX01,434494.07,561839.65
200000387210,CX02,443738.00,345997.00
10035059177,CX02,620757.00,241400.00
10002274964,CX02,500919.00,222518.50
100101032425,CX03,312304.49,358435.28
10009302979,CX02,438226.47,513266.68
10009583330,CX03,360778.00,223978.00
100071580065,CX01,417663.00,287054.00
10093967365,CX01,416854.43,283687.08
10034633628,CX02,195283.00,57008.00
19570,CX02,358279.00,177367.00
100023215720,CX01,556018.23,186456.46
100041028724,CX02,146581.00,30799.00
100022901270,CX01,538421.00,162110.00
250049839,CX03,377617.33,147913.50
10009302978,CX03,440167.10,514629.43
556090,CX01,360529.04,183491.14
38061020,CX01,333713.00,391014.00
648424,CX03,360665.00,180135.00
100041152149,CX02,241834.00,59181.00
100062388690,CX02,572491.00,170012.00
10024171573,CX02,334199.17,443586.65
34026612,CX01,523364.00,178793.00
10070349957,CX01,259258.00,369389.00
10013910926,CX01,524931.90,201256.75
10093712264,CX04,615657.68,343512.70
22095835,CX02,533695.00,103606.00
10024429665,CX02,356693.00,418614.00
100091623979,CX01,581421.00,197153.00
217048601,CX02,524139.73,181842.38
100032171926,CX03,555861.00,364471.00
100041073746,CX02,356002.00,116158.00
10010195258,CX02,539926.80,174983.60
10024104925,CX04,568218.04,342552.48
100062483970,CX03,531054.99,119084.02
63189970,CX02,430036.57,420984.20
10024286811,CX05,592178.00,184360.00
10070779838,CX03,391382.00,175048.00
100023151084,CX03,532239.00,188654.00
200002540744,CX05,601488.13,172572.45
200000640969,CX01,504555.00,432793.00
200001431203,CX03,539171.00,187558.00
200002532860,CX01,595600.51,157719.84
100062213931,CX03,416467.72,105589.17
100032045568,CX03,485784.00,309023.00
100023583422,CX01,546914.00,187701.00
10013325832,CX02,652610.00,290516.00
10070276792,CX05,213953.00,325861.00
100062532048,CX02,430217.40,102212.70
42080101,CX01,335145.40,381974.99
10010494609,CX03,630359.65,318475.61
100071398527,CX01,367122.80,333880.36
2465208075,CX01,457528.00,304156.00
100091552191,CX01,622823.00,308475.00
10013178767,CX05,196587.35,194609.89
10010323772,CX01,368358.34,428354.96
38015813,CX03,337224.00,392291.00
100023599613,CX01,528560.00,178585.00
100032265844,CX02,490049.15,267525.62
10035037971,CX,407065.00,428729.00
2465158437,CX02,459152.00,303391.00
10093233223,CX03,328019.74,477939.42
100062591820,CX01,552402.00,130449.00
100081156383,CX02,524873.00,212725.00
100012754662,CX03,341587.90,433386.10
100041156827,CX02,252378.00,68014.00
100032208008,CX02,383049.00,328886.00
100110756007,CX02,317582.89,480328.32
10003524133,CX01,333546.00,442512.00
100032200122,CX03,409079.00,333386.00
10090426827,CX02,352880.00,433859.00
100091624794,CX01,555213.00,203185.00
100062363347,CX03,502339.00,164138.00
310080774,CX08,466879.00,173749.00
2630149212,CX02,610732.00,300980.00
45150845,CX02,438054.31,559244.10
10013914357,CX01,519852.67,197044.62
100023279042,CX02,540490.00,178392.00
100052009564,CX02,431598.00,471499.00
43087441,CX02,315824.00,199087.00
100091466665,CX03,614503.00,222382.00
10004519452,CX01,333491.89,350560.52
10012222137,CX02,415192.00,93781.00
100032184965,CX03,445130.00,366774.00
100012828570,CX01,384145.00,432333.00
10013965056,CX01,446866.13,346894.93
10034463389,CX,454650.12,284745.41
25097232,CX01,487282.00,243813.00
100062648066,CX03,435281.00,146514.00
49060911,CX,217872.64,246087.99
10007894493,CX01,377401.00,401893.00
100100992436,CX01,285864.54,195966.48
32072262,CX02,398411.00,294961.00
200002656602,CX03,290975.24,184578.03
10090628309,CX02,545711.77,258221.79
10034780879,CX05,163157.00,25366.00
10008176921,CX08,477283.00,352137.00
10092980207,CX03,507151.99,176816.93
10092991355,CX01,381997.00,463558.00
100071400618,CX02,431441.00,266044.00
200004615356,CX02,383089.00,353850.00
10003187820,CX02,528461.00,262969.00
50105282,CX04,608287.00,123652.00
200000947464,CX02,330264.00,214540.00
10091536462,CX05,152121.07,41179.37
100062349254,CX01,482339.00,160676.00
10070085874,CX02,421610.00,368877.00
100052158257,CX02,495635.00,476760.00
10070082414,CX02,418252.00,346570.00
41022372,CX,332252.00,397961.00
100023016865,CX01,533797.00,183928.00
10024451885,CX,406405.74,284018.04
100071411482,CX01,407081.25,287329.09
10090864954,CX03,486835.50,237194.00
100100937291,CX02,287752.80,246759.26
10023056604,CX01,386275.89,401844.54
10009258281,CX02,424322.00,322824.00
200002942935,CX02,304913.20,228461.72
200003715381,CX02,589756.87,152021.03
200003999587,CX03,282803.00,100434.00
200003680807,CX02,576563.20,153537.85
5300010592,CX01,530516.00,184578.00
200002951598,CX01,333917.00,190869.00
200002950117,CX04,250130.00,337956.00
11069747,CX02,527659.00,408007.00
200003698809,CX02,583741.92,144106.31
10023897133,CX,489320.76,296478.46
100032049447,CX02,454558.00,284684.00
